**
**Created: 12/11/2021 12:01:22 AM
**
**Fiber DEM
**Program written by Scott Stapleton
**at Institut für Textiltechnik der RWTH Aachen University
**
**-----------------------------------------
**
*GeneralOutput
**ImplicitNumericalTangent1stLSAnalysis, Load Steps = 50, Max NewtonRaphson Iterations = 10, Max NewtonRaphson Error = 1E-05, Strain = 0, 0.002, 0, 0, 0, 0
**00:00:08.4220006
**
**Iteration, E11, E22, E33, E12, E13, E23, S11, S22, S33, S12, S13, S23
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4E-05,0,0,0,0,0,0.28517363862709205,0.05334842771108352,0,0,2.679060191441018E-14
2,0,8E-05,0,0,0,0,0,0.5703371590512984,0.106690049637091,0,0,-2.679531947734116E-14
3,0,0.00012000000000000002,0,0,0,0,0,0.8554905624724543,0.16002486711825217,0,0,1.95625064721074E-14
4,0,0.00016,0,0,0,0,0,1.140633850085847,0.213352881494117,0,0,1.955441232357004E-14
5,0,0.0002,0,0,0,0,0,1.425767023087337,0.2666740941042631,0,0,5.143338403078447E-14
6,0,0.00024,0,0,0,0,0,1.7108900826776419,0.31998850628740383,0,0,-9.482266429123583E-14
7,0,0.00028000000000000003,0,0,0,0,0,1.9960030300524068,0.3732961193820972,0,0,-1.44611698093931E-14
8,0,0.00032,0,0,0,0,0,2.2811058664098147,0.426596934727407,0,0,2.974973099598157E-14
9,0,0.00036,0,0,0,0,0,2.5661985929441453,0.4798909536605339,0,0,-7.225133236654884E-15
10,0,0.0004,0,0,0,0,0,2.851281210853224,0.5331781775191683,0,0,-7.20535077844473E-15
11,0,0.00044,0,0,0,0,0,3.1363537213318384,0.5864586076404853,0,0,2.2538664528778225E-14
12,0,0.00048,0,0,0,0,0,3.4214161255774274,0.6397322453609676,0,0,-6.075693825257506E-14
13,0,0.0005200000000000001,0,0,0,0,0,3.7064684247818884,0.6929990920170093,0,0,1.4428465306913615E-14
14,0,0.0005600000000000001,0,0,0,0,0,3.9915106201451365,0.7462591489454071,0,0,2.6755669508370806E-14
15,0,0.0006000000000000001,0,0,0,0,0,4.27560873158746,0.7993536038795221,0,0,-0.0008545831647620227
16,0,0.00064,0,0,0,0,0,4.560568478656044,0.8525895177721822,0,0,-0.0009115231324442905
17,0,0.00068,0,0,0,0,0,4.84551812813615,0.9058186484546101,0,0,-0.0009684590536736997
18,0,0.00072,0,0,0,0,0,5.130457681183853,0.9590409972434569,0,0,-0.001025390964506423
19,0,0.00076,0,0,0,0,0,5.415387138982514,1.0122565654710067,0,0,-0.0010823188745420823
20,0,0.0008,0,0,0,0,0,5.700306502735263,1.0654653544719552,0,0,-0.001139242780422333
21,0,0.00084,0,0,0,0,0,5.985215773626352,1.118667365577295,0,0,-0.0011961626824435894
22,0,0.00088,0,0,0,0,0,6.270114952858998,1.1718626001218337,0,0,-0.0012530785816874106
23,0,0.00092,0,0,0,0,0,6.555004041619146,1.2250510594359463,0,0,-0.0013099904785829452
24,0,0.00096,0,0,0,0,0,6.83476948501097,1.2766433543105449,0,0,-0.00625325701669866
25,0,0.001,0,0,0,0,0,7.119425433529549,1.3297521901540375,0,0,-0.006513588064726522
26,0,0.0010400000000000001,0,0,0,0,0,7.404071305453019,1.3828542674761601,0,0,-0.006773899276997314
27,0,0.0010800000000000002,0,0,0,0,0,7.68870709995484,1.435949586737147,0,0,-0.007034192685327527
28,0,0.0011200000000000003,0,0,0,0,0,7.961198668528804,1.4888029510920626,0,0,-0.006283909621334576
29,0,0.0011600000000000004,0,0,0,0,0,8.245381776787324,1.541876530750665,0,0,-0.006507916263415558
30,0,0.0012000000000000005,0,0,0,0,0,8.52955427487802,1.5949432174393439,0,0,-0.006732096949987084
31,0,0.0012400000000000007,0,0,0,0,0,8.813716717772996,1.648003153210901,0,0,-0.006956262342803176
32,0,0.0012800000000000008,0,0,0,0,0,9.097869106667128,1.701056339392017,0,0,-0.007180412441861936
33,0,0.0013200000000000009,0,0,0,0,0,9.32269969434717,1.7539632756091075,0,0,-0.007806499987206055
34,0,0.001360000000000001,0,0,0,0,0,9.606198979601675,1.807049988602552,0,0,-0.007856913824159758
35,0,0.001400000000000001,0,0,0,0,0,9.680369429053549,1.8314155866620492,0,0,-0.0021335344412180012
36,0,0.0014400000000000012,0,0,0,0,0,10.15591138499903,1.9058409950436261,0,0,-0.0111848427075914
37,0,0.0014800000000000013,0,0,0,0,0,5.968825281406778,1.928815354292592,0,0,-0.0520687378799309
