**
**Created: 12/18/2021 12:03:12 AM
**
**Fiber DEM
**Program written by Scott Stapleton
**at Institut für Textiltechnik der RWTH Aachen University
**
**-----------------------------------------
**
*GeneralOutput
**ImplicitNumericalTangent1stLSAnalysis, Load Steps = 50, Max NewtonRaphson Iterations = 80, Max NewtonRaphson Error = 1E-05, Strain = 0, 0.015, 0, 0, 0, 0
**00:00:12.0897683
**
**Iteration, E11, E22, E33, E12, E13, E23, S11, S22, S33, S12, S13, S23
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0003,0,0,0,0,0,2.144043778483676,0.4044929997254821,0,0,-7.137836153673744E-15
2,0,0.0006,0,0,0,0,0,4.287518375628949,0.8086003745734155,0,0,-2.148748650418762E-14
3,0,0.0009,0,0,0,0,0,6.430424296182618,1.212322692259957,0,0,3.2080317704106775E-14
4,0,0.0012,0,0,0,0,0,8.572762044131082,1.615660519331783,0,0,1.782247459518784E-14
5,0,0.0014999999999999998,0,0,0,0,0,10.714532122703934,2.0186144211680537,0,0,-5.160156183184779E-14
6,0,0.0017999999999999997,0,0,0,0,0,12.855735034376087,2.421184961986219,0,0,2.8713037175753616E-14
7,0,0.0021,0,0,0,0,0,14.996371280865313,2.8233727048410926,0,0,1.0683896574580578E-14
8,0,0.0024,0,0,0,0,0,17.136441363132306,3.2251782116307206,0,0,-3.3870873524347613E-14
9,0,0.0026999999999999997,0,0,0,0,0,19.27594578139262,3.626602043099681,0,0,3.4113602750699135E-14
10,0,0.0029999999999999996,0,0,0,0,0,21.414885035110448,4.027644758840729,0,0,5.346888684421855E-15
11,0,0.0032999999999999995,0,0,0,0,0,23.553259622998848,4.428306917298051,0,0,-4.10324273783844E-14
12,0,0.0035999999999999995,0,0,0,0,0,25.691070043026727,4.828589075771121,0,0,2.6815670904689995E-14
13,0,0.0038999999999999994,0,0,0,0,0,27.828316792415112,5.228491790416806,0,0,2.680768727798459E-14
14,0,0.0042,0,0,0,0,0,29.965000367640947,5.628015616253429,0,0,7.768032109492785E-17
15,0,0.0045,0,0,0,0,0,32.1011212644432,6.027161107162846,0,0,-5.33893397332059E-14
16,0,0.0048,0,0,0,0,0,34.23667997781732,6.4259288158938075,0,0,3.206290079483823E-14
17,0,0.0050999999999999995,0,0,0,0,0,36.37167700201879,6.824319294065298,0,0,-1.4280439429345572E-14
18,0,0.005399999999999999,0,0,0,0,0,38.50611283056581,7.222333092168745,0,0,-2.090997836570123E-14
19,0,0.005699999999999999,0,0,0,0,0,40.6399879562421,7.619970759571723,0,0,-6.86450501482472E-15
20,0,0.005999999999999999,0,0,0,0,0,42.77330287109438,8.01723284452038,0,0,-6.04440134930194E-14
21,0,0.006299999999999999,0,0,0,0,0,44.90605806643908,8.414119894142512,0,0,6.604623474888426E-14
22,0,0.006599999999999999,0,0,0,0,0,47.03825403286049,8.810632454452179,0,0,-1.9993993472399394E-14
23,0,0.006899999999999999,0,0,0,0,0,49.16989126021128,9.206771070348475,0,0,-1.2783071890575625E-14
24,0,0.007199999999999999,0,0,0,0,0,51.29572895480503,9.602536285622543,0,0,4.623779779827796E-14
25,0,0.007499999999999999,0,0,0,0,0,53.397393123109225,9.997928642959906,0,0,-7.425283103360044E-14
26,0,0.007799999999999999,0,0,0,0,0,55.44641129284148,10.392948683940869,0,0,-3.181324033255066E-14
27,0,0.0081,0,0,0,0,0,57.488652511968425,10.787596949046101,0,0,8.682218119240949E-14
28,0,0.0084,0,0,0,0,0,59.52065601619846,11.181873977657196,0,0,-2.320763666091615E-16
29,0,0.0087,0,0,0,0,0,61.50083479908798,11.57578030806316,0,0,-1.1445724266800215E-14
30,0,0.009,0,0,0,0,0,63.470669552545374,11.96931647745869,0,0,3.1930343692800364E-14
31,0,0.0093,0,0,0,0,0,65.43012803602268,12.362483021949888,0,0,4.614237302418863E-14
32,0,0.0096,0,0,0,0,0,67.37467723842539,12.755280476557601,0,0,-1.1281077397917185E-14
33,0,0.009899999999999999,0,0,0,0,0,69.26750334120986,13.14770937521752,0,0,-4.611521713776147E-14
34,0,0.010199999999999999,0,0,0,0,0,71.14681260662078,13.539770250786743,0,0,-8.509887134395414E-14
35,0,0.010499999999999999,0,0,0,0,0,73.01254498384831,13.931463635042126,0,0,-1.412751084210221E-14
36,0,0.010799999999999999,0,0,0,0,0,74.8646398669497,14.32279005868813,0,0,-5.155412864623551E-14
37,0,0.011099999999999999,0,0,0,0,0,76.66510698420335,14.71375005135439,0,0,-3.217329545736637E-14
38,0,0.011399999999999999,0,0,0,0,0,78.4442750290141,15.104344141602628,0,0,1.9437151140291038E-14
39,0,0.011699999999999999,0,0,0,0,0,80.20407656078008,15.494572856928611,0,0,-1.950856142692461E-14
40,0,0.011999999999999999,0,0,0,0,0,81.93424333219056,15.884436723762306,0,0,-6.005026246435932E-14
41,0,0.012299999999999998,0,0,0,0,0,83.5984477614712,16.273936267474753,0,0,4.616119862330074E-14
42,0,0.012599999999999998,0,0,0,0,0,85.24208803157677,16.663072012377025,0,0,3.35129291802695E-14
43,0,0.012899999999999998,0,0,0,0,0,86.81449885649072,17.051844481725766,0,0,3.23478465018375E-14
44,0,0.013199999999999998,0,0,0,0,0,88.31720805202266,17.440254197723384,0,0,-5.92870490137038E-15
45,0,0.013499999999999998,0,0,0,0,0,89.78621001449733,17.828301681524167,0,0,-3.8640783688671264E-14
46,0,0.013799999999999998,0,0,0,0,0,91.22786927788997,18.21598745323409,0,0,-4.847925444227293E-14
47,0,0.014099999999999998,0,0,0,0,0,92.64191636301719,18.60331203191403,0,0,-4.4310955417331376E-14
48,0,0.014399999999999998,0,0,0,0,0,94.02807691194866,18.990275935584027,0,0,-1.5688886466347682E-14
49,0,0.014699999999999998,0,0,0,0,0,95.38607156843199,19.37687968122403,0,0,-5.78166852721868E-14
50,0,0.014999999999999998,0,0,0,0,0,96.71561585043742,19.763123784778088,0,0,-5.334187639286275E-14
**
**-----------------------------------------
**
*END
